task_id,source,category,model,strategy,run_number,passed,error_type,input_tokens,output_tokens,retrieval_latency_ms,llm_latency_ms,total_latency_ms,estimated_cost_usd,execution_time_s,few_shot_ids,rag_doc_ids,error_msg
mbpp_757,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,170,317,0.0,681.67,681.67,5.16e-05,0.0656,[],[],
mbpp_770,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,151,577,0.0,1348.7,1348.7,8.13e-05,0.068,[],[],
mbpp_779,MBPP,C_borderline,openai/gpt-oss-20b,S0,1,True,,176,866,0.0,8488.35,8488.35,0.000118,0.0656,[],[],
humaneval_0,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,239,246,0.0,7728.76,7728.76,4.86e-05,0.0646,[],[],
humaneval_11,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,192,259,0.0,651.15,651.15,4.64e-05,0.0754,[],[],
humaneval_12,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,216,225,0.0,4658.73,4658.73,4.43e-05,0.068,[],[],
humaneval_13,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,184,195,0.0,898.08,898.08,3.81e-05,0.0581,[],[],
humaneval_14,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,173,100,0.0,3580.72,3580.72,2.58e-05,0.0613,[],[],
humaneval_15,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,182,251,0.0,1652.72,1652.72,4.47e-05,0.0663,[],[],
humaneval_16,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,187,148,0.0,1592.49,1592.49,3.27e-05,0.0686,[],[],
humaneval_17,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,284,242,0.0,673.06,673.06,5.18e-05,0.0791,[],[],
humaneval_18,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,202,217,0.0,4703.31,4703.31,4.22e-05,0.0534,[],[],
humaneval_19,HumanEval,A_easy,openai/gpt-oss-20b,S0,1,True,,219,463,0.0,924.7,924.7,7.31e-05,0.0882,[],[],
humaneval_32,HumanEval,D_hard,openai/gpt-oss-20b,S0,1,False,runtime_error,374,906,0.0,4594.96,4594.96,0.0001386,0.1033,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp16aqtz2p.py"", line 47, in <module>
    check(find_zero)
    ~~~~~^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Local\Temp\tmp"
humaneval_36,HumanEval,D_hard,openai/gpt-oss-20b,S0,1,True,,193,483,0.0,7818.98,7818.98,7.34e-05,0.0536,[],[],
humaneval_39,HumanEval,D_hard,openai/gpt-oss-20b,S0,1,False,syntax_error,210,1024,0.0,5903.52,5903.52,0.0001397,0.0985,[],[],"File ""C:\Users\dell\AppData\Local\Temp\tmp0tgcgdcr.py"", line 20
    small_primes = [2, 3, 5, 7, 11, 13, 17, 19,
                   ^
SyntaxError: '[' was never closed"
mbpp_18,MBPP,D_hard,openai/gpt-oss-20b,S0,1,False,runtime_error,151,372,0.0,7671.12,7671.12,5.67e-05,0.102,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpqua2wuvt.py"", line 5, in <module>
    assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
           ^^^^^^^^^^"
mbpp_56,MBPP,D_hard,openai/gpt-oss-20b,S0,1,False,runtime_error,149,238,0.0,2644.09,2644.09,4.05e-05,0.0994,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpisz6vsht.py"", line 6, in <module>
    assert check(70) == False
           ^^^^^
NameError: name 'check' is not defined"
humaneval_1,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,False,assertion_error,229,688,0.0,3222.69,3222.69,0.0001009,0.1092,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp8bnei2dn.py"", line 39, in <module>
    check(separate_paren_groups)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\del"
humaneval_10,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,False,assertion_error,254,615,0.0,8168.78,8168.78,9.41e-05,0.0953,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpvj_gsnt9.py"", line 25, in <module>
    check(make_palindrome)
    ~~~~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Lo"
humaneval_33,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,True,,267,525,0.0,6155.98,6155.98,8.44e-05,0.0478,[],[],
humaneval_38,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,False,runtime_error,273,330,0.0,3858.11,3858.11,6.14e-05,0.1014,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp71pdft65.py"", line 25, in <module>
    check(decode_cyclic)
    ~~~~~^^^^^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Local\"
humaneval_40,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,True,,273,600,0.0,5050.16,5050.16,9.38e-05,0.0618,[],[],
humaneval_41,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,False,syntax_error,263,1024,0.0,3552.3,3552.3,0.0001439,0.1022,[],[],"File ""C:\Users\dell\AppData\Local\Temp\tmpcovhd96h.py"", line 2
    """"""Return the number of collisions between two
    ^
SyntaxError: unterminated triple-quoted string literal (detected at line 14)"
humaneval_9,HumanEval,B_gap,openai/gpt-oss-20b,S0,2,True,,214,252,0.0,9841.47,9841.47,4.74e-05,0.0618,[],[],
mbpp_11,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,151,428,0.0,2887.19,2887.19,6.34e-05,0.0742,[],[],
mbpp_14,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,147,292,0.0,2699.63,2699.63,4.68e-05,0.0626,[],[],
mbpp_16,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,159,910,0.0,3412.61,3412.61,0.0001219,0.0736,[],[],
mbpp_61,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,154,508,0.0,7892.94,7892.94,7.33e-05,0.0654,[],[],
mbpp_620,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,155,380,0.0,3884.39,3884.39,5.8e-05,0.041,[],[],
mbpp_627,MBPP,B_gap,openai/gpt-oss-20b,S0,2,False,assertion_error,152,340,0.0,4838.18,4838.18,5.3e-05,0.1049,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpqpq5sonc.py"", line 13, in <module>
    assert find_First_Missing([2,3,5,8,9]) == 0
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_63,MBPP,B_gap,openai/gpt-oss-20b,S0,2,False,assertion_error,149,431,0.0,1884.7,1884.7,6.36e-05,0.1023,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp5lj1j4fr.py"", line 14, in <module>
    assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7
           ^^^^^^^^^"
mbpp_635,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,141,534,0.0,3855.34,3855.34,7.54e-05,0.0476,[],[],
mbpp_641,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,144,277,0.0,5715.68,5715.68,4.48e-05,0.0452,[],[],
mbpp_72,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,155,555,0.0,3196.42,3196.42,7.9e-05,0.0572,[],[],
mbpp_734,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,175,374,0.0,3788.56,3788.56,5.89e-05,0.0693,[],[],
mbpp_745,MBPP,B_gap,openai/gpt-oss-20b,S0,2,True,,182,418,0.0,4048.64,4048.64,6.47e-05,0.0497,[],[],
mbpp_747,MBPP,B_gap,openai/gpt-oss-20b,S0,2,False,assertion_error,170,518,0.0,4653.12,4653.12,7.58e-05,0.1749,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpuzh8zajh.py"", line 29, in <module>
    assert lcs_of_three('AGGT12', '12TXAYB', '12XBA') == 2
           ^^^^^^^^^^^^^^^^"
humaneval_20,HumanEval,C_borderline,openai/gpt-oss-20b,S0,2,True,,282,570,0.0,5124.1,5124.1,9.1e-05,0.0891,[],[],
mbpp_608,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,142,894,0.0,5153.36,5153.36,0.0001186,0.0663,[],[],
mbpp_612,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,False,assertion_error,177,157,0.0,5602.22,5602.22,3.3e-05,0.1018,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmperefwq5y.py"", line 9, in <module>
    assert merge([['x', 'y','z' ], ['a', 'b','c'], ['m', 'n','o']]) == [['x', 'a', 'm']"
mbpp_614,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,155,165,0.0,2557.88,2557.88,3.22e-05,0.0689,[],[],
mbpp_637,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,152,265,0.0,1668.92,1668.92,4.4e-05,0.0705,[],[],
mbpp_644,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,False,assertion_error,148,209,0.0,3704.89,3704.89,3.69e-05,0.1351,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpofq0iqeo.py"", line 14, in <module>
    assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]
          "
mbpp_67,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,149,502,0.0,1928.62,1928.62,7.22e-05,0.0648,[],[],
mbpp_722,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,186,223,0.0,4740.06,4740.06,4.16e-05,0.0621,[],[],
mbpp_723,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,159,105,0.0,2525.46,2525.46,2.53e-05,0.055,[],[],
mbpp_726,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,183,176,0.0,719.64,719.64,3.58e-05,0.0477,[],[],
mbpp_739,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,169,399,0.0,1854.41,1854.41,6.14e-05,0.0726,[],[],
mbpp_741,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,150,139,0.0,4586.64,4586.64,2.87e-05,0.0583,[],[],
mbpp_757,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,False,runtime_error,170,1024,0.0,1430.03,1430.03,0.0001365,0.1079,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpl9s5sgcy.py"", line 4, in <module>
    assert count_reverse_pairs([""julia"", ""best"", ""tseb"", ""for"", ""ailuj""])== 2
         "
mbpp_770,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,151,246,0.0,8577.74,8577.74,4.16e-05,0.0669,[],[],
mbpp_779,MBPP,C_borderline,openai/gpt-oss-20b,S0,2,True,,176,342,0.0,2882.99,2882.99,5.51e-05,0.0648,[],[],
humaneval_0,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,239,159,0.0,3550.81,3550.81,3.82e-05,0.0953,[],[],
humaneval_11,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,192,137,0.0,2692.5,2692.5,3.18e-05,0.0704,[],[],
humaneval_12,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,216,172,0.0,1632.55,1632.55,3.79e-05,0.0482,[],[],
humaneval_13,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,184,178,0.0,2599.57,2599.57,3.61e-05,0.0508,[],[],
humaneval_14,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,173,95,0.0,2477.24,2477.24,2.52e-05,0.0533,[],[],
humaneval_15,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,182,75,0.0,1484.06,1484.06,2.36e-05,0.0613,[],[],
humaneval_16,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,187,167,0.0,1552.06,1552.06,3.5e-05,0.0639,[],[],
humaneval_17,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,284,266,0.0,2716.57,2716.57,5.46e-05,0.0768,[],[],
humaneval_18,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,202,251,0.0,2643.36,2643.36,4.63e-05,0.0768,[],[],
humaneval_19,HumanEval,A_easy,openai/gpt-oss-20b,S0,2,True,,219,271,0.0,3700.62,3700.62,5e-05,0.0838,[],[],
humaneval_32,HumanEval,D_hard,openai/gpt-oss-20b,S0,2,False,runtime_error,374,620,0.0,5094.84,5094.84,0.0001043,0.1372,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp7dr76jg3.py"", line 52, in <module>
    check(find_zero)
    ~~~~~^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Local\Temp\tmp"
humaneval_36,HumanEval,D_hard,openai/gpt-oss-20b,S0,2,True,,193,779,0.0,5439.21,5439.21,0.0001089,0.0711,[],[],
humaneval_39,HumanEval,D_hard,openai/gpt-oss-20b,S0,2,True,,210,979,0.0,6469.95,6469.95,0.0001343,0.0673,[],[],
mbpp_18,MBPP,D_hard,openai/gpt-oss-20b,S0,2,False,runtime_error,151,1024,0.0,8532.73,8532.73,0.000135,0.153,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpupht1lj9.py"", line 4, in <module>
    assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
           ^^^^^^^^^^"
mbpp_56,MBPP,D_hard,openai/gpt-oss-20b,S0,2,False,runtime_error,149,245,0.0,7911.19,7911.19,4.13e-05,0.0917,[],[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpumf6o5br.py"", line 9, in <module>
    assert check(70) == False
           ^^^^^
NameError: name 'check' is not defined"
humaneval_1,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,True,,343,466,87.32,4095.23,4182.55,8.34e-05,0.0776,"[""fs_640"", ""fs_725""]",[],
humaneval_10,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,False,assertion_error,359,624,35.15,5060.44,5095.59,0.0001036,0.1152,"[""fs_604"", ""fs_643""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpcmacy8hp.py"", line 24, in <module>
    check(make_palindrome)
    ~~~~~^^^^^^^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Lo"
humaneval_33,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,True,,450,455,23.0,7971.63,7994.63,9.06e-05,0.0532,"[""fs_755"", ""fs_754""]",[],
humaneval_38,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,False,runtime_error,418,310,25.68,5736.1,5761.78,7.06e-05,0.0969,"[""fs_602"", ""fs_619""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp57tpvl2_.py"", line 19, in <module>
    check(decode_cyclic)
    ~~~~~^^^^^^^^^^^^^^^
  File ""C:\Users\dell\AppData\Local\"
humaneval_40,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,True,,423,529,26.92,5025.86,5052.78,9.73e-05,0.0531,"[""fs_728"", ""fs_744""]",[],
humaneval_41,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,False,runtime_error,693,1024,22.12,8269.92,8292.04,0.0001783,0.1032,"[""fs_603"", ""fs_721""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpa4m4wkrq.py"", line 13, in <module>
    check(car_race_collision)
          ^^^^^^^^^^^^^^^^^^
NameError: name 'car_race_c"
humaneval_9,HumanEval,B_gap,openai/gpt-oss-20b,S1,1,True,,368,652,14.04,10230.63,10244.67,0.0001077,0.058,"[""fs_611"", ""fs_753""]",[],
mbpp_11,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,278,281,11.4,6883.41,6894.81,5.6e-05,0.0398,"[""fs_602"", ""fs_640""]",[],
mbpp_14,MBPP,B_gap,openai/gpt-oss-20b,S1,1,False,runtime_error,276,352,9.67,3973.37,3983.04,6.43e-05,0.0947,"[""fs_742"", ""fs_731""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmppy8pn5q0.py"", line 5, in <module>
    assert find_Volume(10,8,6) == 240
           ~~~~~~~~~~~^^^^^^^^
TypeError: find_Vo"
mbpp_16,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,258,323,13.37,3628.03,3641.4,5.94e-05,0.0733,"[""fs_624"", ""fs_631""]",[],
mbpp_61,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,300,800,9.19,4204.65,4213.84,0.00012,0.0691,"[""fs_724"", ""fs_639""]",[],
mbpp_620,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,289,246,9.69,7732.49,7742.18,5.26e-05,0.0541,"[""fs_611"", ""fs_755""]",[],
mbpp_627,MBPP,B_gap,openai/gpt-oss-20b,S1,1,False,assertion_error,311,267,8.67,3733.36,3742.03,5.69e-05,0.0948,"[""fs_755"", ""fs_753""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpmuqetb4b.py"", line 14, in <module>
    assert find_First_Missing([2,3,5,8,9]) == 0
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_63,MBPP,B_gap,openai/gpt-oss-20b,S1,1,False,runtime_error,356,224,8.69,3764.02,3772.71,5.54e-05,0.1037,"[""fs_740"", ""fs_763""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmphckf0q2i.py"", line 7, in <module>
    assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7
           ~~~~~~~~~~"
mbpp_635,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,285,539,8.7,4062.21,4070.91,8.75e-05,0.062,"[""fs_749"", ""fs_755""]",[],
mbpp_641,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,370,300,12.46,5895.09,5907.55,6.56e-05,0.0481,"[""fs_752"", ""fs_623""]",[],
mbpp_72,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,346,556,12.03,5080.62,5092.65,9.44e-05,0.066,"[""fs_763"", ""fs_616""]",[],
mbpp_734,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,380,367,14.12,4806.43,4820.55,7.44e-05,0.0558,"[""fs_758"", ""fs_728""]",[],
mbpp_745,MBPP,B_gap,openai/gpt-oss-20b,S1,1,True,,311,263,15.3,5599.93,5615.23,5.64e-05,0.0712,"[""fs_629"", ""fs_619""]",[],
mbpp_747,MBPP,B_gap,openai/gpt-oss-20b,S1,1,False,assertion_error,349,658,15.51,4084.85,4100.36,0.0001069,0.1124,"[""fs_754"", ""fs_602""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp4tg0ine7.py"", line 29, in <module>
    assert lcs_of_three('AGGT12', '12TXAYB', '12XBA') == 2
           ^^^^^^^^^^^^^^^^"
humaneval_20,HumanEval,C_borderline,openai/gpt-oss-20b,S1,1,True,,441,307,29.7,7794.49,7824.19,7.21e-05,0.0859,"[""fs_755"", ""fs_753""]",[],
mbpp_608,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,False,assertion_error,368,357,10.43,4845.52,4855.95,7.23e-05,0.112,"[""fs_623"", ""fs_752""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp15ww11l0.py"", line 15, in <module>
    assert bell_Number(2) == 2
           ^^^^^^^^^^^^^^^^^^^
AssertionError"
mbpp_612,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,False,assertion_error,382,168,14.47,4669.31,4683.78,5.07e-05,0.083,"[""fs_728"", ""fs_758""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpa7iodjl4.py"", line 9, in <module>
    assert merge([['x', 'y','z' ], ['a', 'b','c'], ['m', 'n','o']]) == [['x', 'a', 'm']"
mbpp_614,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,True,,266,554,10.7,2990.44,3001.14,8.78e-05,0.0739,"[""fs_615"", ""fs_750""]",[],
mbpp_637,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,False,runtime_error,309,260,48.95,5775.83,5824.78,5.59e-05,0.0932,"[""fs_605"", ""fs_762""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpk6b7udcu.py"", line 5, in <module>
    assert noprofit_noloss(1500,1200)==False
           ~~~~~~~~~~~~~~~^^^^^^^^^^^
Type"
mbpp_644,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,False,assertion_error,263,208,11.88,3694.62,3706.5,4.6e-05,0.0959,"[""fs_743"", ""fs_604""]",[],"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpfw9crsfj.py"", line 7, in <module>
    assert reverse_Array_Upto_K([1, 2, 3, 4, 5, 6],4) == [4, 3, 2, 1, 5, 6]
           "
mbpp_67,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,True,,345,460,10.4,4099.79,4110.19,8.28e-05,0.0471,"[""fs_623"", ""fs_603""]",[],
mbpp_722,MBPP,C_borderline,openai/gpt-oss-20b,S1,1,True,,370,226,15.16,4704.91,4720.07,5.67e-05,0.0634,"[""fs_753"", ""fs_740""]",[],
