task_id,source,model,strategy,run_number,passed,error_type,input_tokens,output_tokens,latency_ms,estimated_cost_usd,execution_time_s,error_msg
mbpp_740,MBPP,openai/gpt-oss-20b,S0,1,True,,164,286,4775.48,4.74e-05,0.0598,
mbpp_741,MBPP,openai/gpt-oss-20b,S0,1,True,,142,183,2665.9,3.33e-05,0.0454,
mbpp_742,MBPP,openai/gpt-oss-20b,S0,1,False,syntax_error,140,512,2032.93,7.26e-05,0.0937,"File ""C:\Users\dell\AppData\Local\Temp\tmpmh8viugw.py"", line 23
    triangle_area(v2
                 ^
SyntaxError: '(' was never closed"
mbpp_743,MBPP,openai/gpt-oss-20b,S0,1,True,,158,170,4370.03,3.3e-05,0.0729,
mbpp_744,MBPP,openai/gpt-oss-20b,S0,1,True,,140,162,1330.26,3.06e-05,0.0659,
mbpp_745,MBPP,openai/gpt-oss-20b,S0,1,False,syntax_error,174,512,3006.5,7.54e-05,0.0996,"File ""C:\Users\dell\AppData\Local\Temp\tmp3gku6734.py"", line 7
    if all(num
          ^
SyntaxError: '(' was never closed"
mbpp_746,MBPP,openai/gpt-oss-20b,S0,1,True,,158,149,4566.47,3.05e-05,0.0593,
mbpp_747,MBPP,openai/gpt-oss-20b,S0,1,False,syntax_error,162,512,2078.02,7.44e-05,0.0946,"File ""C:\Users\dell\AppData\Local\Temp\tmp6el7_kbu.py"", line 32
    if dp[i - 1][j][k] >= dp[i][j - 1][k] and dp[i
                                                ^
SyntaxError: '[' was never closed"
mbpp_748,MBPP,openai/gpt-oss-20b,S0,1,True,,142,447,4070.48,6.5e-05,0.0579,
mbpp_749,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,158,162,3329.37,3.21e-05,0.0967,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpnad2xtbk.py"", line 14, in <module>
    assert sort_numeric_strings( ['4','12','45','7','0','100','200','-12','-500'])==[-"
mbpp_750,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,137,120,2555.74,2.54e-05,0.0894,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp9idcu9f_.py"", line 6, in <module>
    assert add_tuple([5, 6, 7], (9, 10)) == [5, 6, 7, 9, 10]
           ^^^^^^^^^^^^^^^"
mbpp_751,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,166,344,1818.85,5.46e-05,0.0912,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpzmqg_s_5.py"", line 13, in <module>
    assert check_min_heap([1, 2, 3, 4, 5, 6]) == True
           ^^^^^^^^^^^^^^
NameEr"
mbpp_752,MBPP,openai/gpt-oss-20b,S0,1,True,,210,283,3711.5,5.08e-05,0.057,
mbpp_753,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,168,512,2986.72,7.49e-05,0.0929,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpyrbpk37h.py"", line 4, in <module>
    assert min_k([('Manjeet', 10), ('Akshat', 4), ('Akash', 2), ('Nikhil', 8)], 2) == ["
mbpp_754,MBPP,openai/gpt-oss-20b,S0,1,True,,172,175,3703.38,3.48e-05,0.0607,
mbpp_755,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,138,448,2920.7,6.48e-05,0.0957,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpkyst_mtc.py"", line 14, in <module>
    assert second_smallest([2,2])==None
           ~~~~~~~~~~~~~~~^^^^^^^
  File ""C:\U"
mbpp_756,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,167,473,3975.89,7.01e-05,0.0925,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp_49xrx59.py"", line 9, in <module>
    assert text_match_zero_one(""abbbba"")==True
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_757,MBPP,openai/gpt-oss-20b,S0,1,True,,162,404,3927.11,6.14e-05,0.0582,
mbpp_758,MBPP,openai/gpt-oss-20b,S0,1,True,,168,498,3830.51,7.32e-05,0.0576,
mbpp_759,MBPP,openai/gpt-oss-20b,S0,1,True,,144,438,4880.93,6.41e-05,0.0658,
mbpp_760,MBPP,openai/gpt-oss-20b,S0,1,True,,143,297,3729.76,4.71e-05,0.0681,
mbpp_762,MBPP,openai/gpt-oss-20b,S0,1,True,,155,272,2534.81,4.5e-05,0.047,
mbpp_763,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,159,354,2621.96,5.52e-05,0.0955,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpvho4l2ya.py"", line 13, in <module>
    assert find_min_diff((1,5,3,19,18,25),6) == 1
           ~~~~~~~~~~~~~^^^^^^^^^^^^"
mbpp_764,MBPP,openai/gpt-oss-20b,S0,1,True,,138,103,3585.36,2.34e-05,0.0561,
mbpp_765,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,144,512,669.0,7.3e-05,0.0979,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpt8n7j46b.py"", line 4, in <module>
    assert is_polite(7) == 11
           ^^^^^^^^^
NameError: name 'is_polite' is not d"
mbpp_766,MBPP,openai/gpt-oss-20b,S0,1,True,,143,163,4588.81,3.1e-05,0.0642,
mbpp_767,MBPP,openai/gpt-oss-20b,S0,1,True,,157,240,2668.95,4.14e-05,0.055,
mbpp_769,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,135,407,1857.74,5.96e-05,0.0881,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp505s_lme.py"", line 5, in <module>
    assert (Diff([10, 15, 20, 25, 30, 35, 40], [25, 40, 35])) == [10, 20, 30, 15]
     "
mbpp_770,MBPP,openai/gpt-oss-20b,S0,1,True,,143,143,3315.79,2.86e-05,0.0615,
mbpp_771,MBPP,openai/gpt-oss-20b,S0,1,True,,155,348,2834.92,5.42e-05,0.0534,
mbpp_772,MBPP,openai/gpt-oss-20b,S0,1,True,,140,200,2599.05,3.52e-05,0.0563,
mbpp_773,MBPP,openai/gpt-oss-20b,S0,1,False,syntax_error,151,512,1963.07,7.35e-05,0.0962,"File ""C:\Users\dell\AppData\Local\Temp\tmp1t6bo843.py"", line 15
    assert occurance_substring('python programming, python language','python')==('python', 0, 6)
IndentationError: expected an indented "
mbpp_775,MBPP,openai/gpt-oss-20b,S0,1,True,,142,179,4569.21,3.28e-05,0.0614,
mbpp_776,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,143,318,1726.7,4.96e-05,0.0842,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpwtlxsk_t.py"", line 13, in <module>
    assert count_vowels('bestinstareels') == 7
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_777,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,142,173,3568.78,3.21e-05,0.0955,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmppwuw089w.py"", line 8, in <module>
    assert find_sum([1,2,3,1,1,4,5,6]) == 21
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"
mbpp_778,MBPP,openai/gpt-oss-20b,S0,1,True,,142,270,1696.03,4.38e-05,0.0609,
mbpp_779,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,168,512,2960.93,7.49e-05,0.1134,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp3alr9ag1.py"", line 4, in <module>
    assert unique_sublists([[1, 3], [5, 7], [1, 3], [13, 15, 17], [5, 7], [9, 11]])=={("
mbpp_780,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,164,512,4989.93,7.46e-05,0.1035,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpu7fbmz8d.py"", line 4, in <module>
    assert find_combinations([(2, 4), (6, 7), (5, 1), (6, 10)]) == [(8, 11), (7, 5), (8"
mbpp_781,MBPP,openai/gpt-oss-20b,S0,1,True,,162,303,3695.6,4.93e-05,0.0679,
mbpp_782,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,158,512,2908.43,7.41e-05,0.0947,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpc0fip64c.py"", line 4, in <module>
    assert odd_length_sum([1,2,4]) == 14
           ^^^^^^^^^^^^^^
NameError: name 'odd"
mbpp_783,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,156,512,4916.76,7.39e-05,0.0967,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpf__8e5yw.py"", line 38, in <module>
    assert rgb_to_hsv(255, 255, 255)==(0, 0.0, 100.0)
           ^^^^^^^^^^^^^^^^^^^^^"
mbpp_784,MBPP,openai/gpt-oss-20b,S0,1,True,,144,255,4645.19,4.21e-05,0.0665,
mbpp_785,MBPP,openai/gpt-oss-20b,S0,1,True,,136,248,1830.98,4.06e-05,0.0514,
mbpp_786,MBPP,openai/gpt-oss-20b,S0,1,True,,142,235,2762.73,3.96e-05,0.0553,
mbpp_787,MBPP,openai/gpt-oss-20b,S0,1,True,,142,221,2610.8,3.79e-05,0.0718,
mbpp_788,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,139,512,1930.83,7.26e-05,0.0819,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpds0p8pbo.py"", line 4, in <module>
    assert new_tuple([""WEB"", ""is""], ""best"") == ('WEB', 'is', 'best')
           ^^^^^^^"
mbpp_790,MBPP,openai/gpt-oss-20b,S0,1,True,,142,240,4641.44,4.02e-05,0.0571,
mbpp_791,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,135,512,1920.12,7.22e-05,0.0888,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpfm7xjeik.py"", line 4, in <module>
    assert remove_nested((1, 5, 7, (4, 6), 10)) == (1, 5, 7, 10)
           ^^^^^^^^^^^"
mbpp_792,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,141,512,5091.65,7.27e-05,0.0846,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpjoroy5qu.py"", line 4, in <module>
    assert count_list([[1, 3], [5, 7], [9, 11], [13, 15, 17]]) == 4
           ^^^^^^^^"
mbpp_793,MBPP,openai/gpt-oss-20b,S0,1,True,,140,312,3737.24,4.86e-05,0.0443,
mbpp_794,MBPP,openai/gpt-oss-20b,S0,1,True,,149,193,3574.87,3.51e-05,0.0739,
mbpp_796,MBPP,openai/gpt-oss-20b,S0,1,True,,138,89,1558.46,2.17e-05,0.0603,
mbpp_797,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,145,179,1346.35,3.31e-05,0.0932,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpoib41inu.py"", line 8, in <module>
    assert sum_in_range(2,5) == 8
           ^^^^^^^^^^^^
NameError: name 'sum_in_range"
mbpp_798,MBPP,openai/gpt-oss-20b,S0,1,True,,135,86,1493.55,2.11e-05,0.0533,
mbpp_799,MBPP,openai/gpt-oss-20b,S0,1,True,,149,279,1602.37,4.54e-05,0.0628,
mbpp_800,MBPP,openai/gpt-oss-20b,S0,1,True,,137,105,2282.6,2.36e-05,0.0591,
mbpp_801,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,141,295,1457.69,4.67e-05,0.0914,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpr67yjt03.py"", line 16, in <module>
    assert test_three_equal(-1,-2,-3) == 0
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
"
mbpp_802,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,163,473,3919.37,6.98e-05,0.0879,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpog8iiwj0.py"", line 26, in <module>
    assert count_rotation([3,2,1]) == 1
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Assert"
mbpp_803,MBPP,openai/gpt-oss-20b,S0,1,True,,162,180,3564.51,3.46e-05,0.0618,
mbpp_804,MBPP,openai/gpt-oss-20b,S0,1,True,,143,264,1774.98,4.31e-05,0.0581,
mbpp_805,MBPP,openai/gpt-oss-20b,S0,1,True,,145,283,2825.95,4.56e-05,0.0642,
mbpp_806,MBPP,openai/gpt-oss-20b,S0,1,True,,141,316,2740.24,4.92e-05,0.06,
mbpp_807,MBPP,openai/gpt-oss-20b,S0,1,True,,142,148,2541.25,2.91e-05,0.0464,
mbpp_808,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,139,313,2642.53,4.87e-05,0.1037,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpym5k9jfu.py"", line 5, in <module>
    assert check_K((10, 4, 5, 6, 8), 6) == True
           ~~~~~~~^^^^^^^^^^^^^^^^^^^^^"
mbpp_809,MBPP,openai/gpt-oss-20b,S0,1,True,,147,191,2669.33,3.47e-05,0.0609,
mbpp_11,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,143,512,1927.47,7.29e-05,0.0925,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpyqtr9x79.py"", line 4, in <module>
    assert remove_Occ(""hello"",""l"") == ""heo""
           ^^^^^^^^^^
NameError: name 'remo"
mbpp_12,MBPP,openai/gpt-oss-20b,S0,1,True,,143,242,4652.7,4.05e-05,0.0605,
mbpp_14,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,139,508,2926.14,7.21e-05,0.0884,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpyjj8it0r.py"", line 31, in <module>
    assert find_Volume(10,8,6) == 240
           ~~~~~~~~~~~^^^^^^^^
TypeError: find_V"
mbpp_16,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,151,512,3997.23,7.35e-05,0.1007,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpc_5duxlv.py"", line 4, in <module>
    assert text_lowercase_underscore(""aab_cbbbc"")==(True)
           ^^^^^^^^^^^^^^^^^^"
mbpp_17,MBPP,openai/gpt-oss-20b,S0,1,True,,142,115,4533.71,2.52e-05,0.0599,
mbpp_18,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,143,399,918.14,5.93e-05,0.0901,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpri6xmtwl.py"", line 5, in <module>
    assert remove_dirty_chars(""probasscurve"", ""pros"") == 'bacuve'
           ^^^^^^^^^^"
mbpp_19,MBPP,openai/gpt-oss-20b,S0,1,True,,140,220,3624.18,3.76e-05,0.0769,
mbpp_20,MBPP,openai/gpt-oss-20b,S0,1,True,,141,416,2969.39,6.12e-05,0.0613,
mbpp_56,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,141,318,2840.35,4.94e-05,0.1032,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpxfinpmiy.py"", line 12, in <module>
    assert check(70) == False
           ^^^^^
NameError: name 'check' is not defined"
mbpp_57,MBPP,openai/gpt-oss-20b,S0,1,True,,145,316,3804.73,4.95e-05,0.0767,
mbpp_58,MBPP,openai/gpt-oss-20b,S0,1,True,,143,135,2438.35,2.76e-05,0.058,
mbpp_59,MBPP,openai/gpt-oss-20b,S0,1,True,,136,315,1753.48,4.87e-05,0.0561,
mbpp_61,MBPP,openai/gpt-oss-20b,S0,1,False,assertion_error,146,512,2841.68,7.31e-05,0.0893,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmpuaovxser.py"", line 9, in <module>
    assert count_Substrings('112112') == 6
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
A"
mbpp_62,MBPP,openai/gpt-oss-20b,S0,1,True,,137,79,4494.16,2.04e-05,0.0638,
mbpp_63,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,141,512,986.02,7.27e-05,0.0926,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp4erhk0n7.py"", line 4, in <module>
    assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7
           ^^^^^^^^^^"
mbpp_64,MBPP,openai/gpt-oss-20b,S0,1,True,,141,112,4564.72,2.47e-05,0.0617,
mbpp_65,MBPP,openai/gpt-oss-20b,S0,1,True,,139,188,1586.08,3.37e-05,0.0597,
mbpp_66,MBPP,openai/gpt-oss-20b,S0,1,True,,139,98,1498.12,2.29e-05,0.0616,
mbpp_67,MBPP,openai/gpt-oss-20b,S0,1,True,,141,463,2099.96,6.68e-05,0.0584,
mbpp_68,MBPP,openai/gpt-oss-20b,S0,1,True,,143,242,3724.06,4.05e-05,0.0586,
mbpp_69,MBPP,openai/gpt-oss-20b,S0,1,True,,141,281,2813.46,4.5e-05,0.0592,
mbpp_70,MBPP,openai/gpt-oss-20b,S0,1,False,runtime_error,141,252,2688.19,4.15e-05,0.0916,"Traceback (most recent call last):
  File ""C:\Users\dell\AppData\Local\Temp\tmp3jg2q2cr.py"", line 15, in <module>
    assert get_equal([(11, 22, 33), (44, 55, 66)]) == True
           ^^^^^^^^^
NameEr"
